Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2012-0000005,1/1/12,1/1/2012  3:55:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,MAXWELL DWORKIN BUILDING 33 OXFORD ST,MA,CLOSED,Officers dispatched to a report of two individuals acting suspiciously. Officers arrived and sent the individuals on their way.
2012-0000006,1/1/12,1/1/2012  1:06:00PM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and report the individual was gone on arrival.
2012-0000018,1/2/12,1/1/2012  8:00:00PM,ASSIST SOMERVILLE POLICE,Other, 318 BEACON ST,MA,CLOSED,Officer assisted Somerville Police in taking a report that one individual threatened another individual.
2012-0000020,1/2/12,12/10/2011 To 12/11/2011 9:30:00PM To  1:00:00AM,PROPERTY DAMAGE,Theft,ANNENBURG HALL 18 KIRKLAND ST,MA,CLOSED,"Officer took a report of property damage. The reporting party stated that while they were standing in line a large crowd of people began gathering causing them to get elbowed and knocked over by several other individuals. The reporting party stated that their black and beige Jovani corset dress valued at $1,000 and their black Vintage Cut jet purse valued at $350.00 were damaged."
2012-0000033,1/3/12,1/3/2012  8:33:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,INTERNATIONAL HOUSE 199 199 PARK DR,MA,CLOSED,"Officers dispatched to a report of suspicious activity. Upon arrival, the officers were informed there were individuals staying in the residence while the occupant was away. The individuals were instructed to leave until the occupant returned."
2012-0000045,1/3/12,1/3/2012 12:26:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of several unwanted guests harassing passerby. Officers report the individuals were gone on arrival.
2012-0000052,1/3/12,1/3/2012  3:45:00PM To  4:15:00PM,THEFT REPORT,Theft,BIOLOGY LAB 16 DIVINITY AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen black HP 5310M laptop valued at $1,500.00.
UPDATE 11/15/12: Pending further investigation this case is closed."
2012-0000053,1/3/12,1/3/2012  4:43:00PM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers spoke with the individual and the manager. Officers report the situation was resolved and the individual was allowed to stay.
2012-0000060,1/3/12,1/3/2012 11:39:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HARVARD YARD 1 PEABODY ST,MA,CLOSED,Officers dispatched to a report that an individual jumped over the gate. Officers searched the area for the individual with negative results.
2012-0000071,1/4/12,1/4/2012  8:46:00AM,ASSAULT REPORT,Violence,CONTINUING EDUCATION COMPUTER 53 CHURCH ST,MA,ARREST,"Officer observed an individual shove another individual. Officer conducted a field interview and the individual was then placed under arrest. While the individual was in custody they were issued a trespass warning for all Harvard University property.
Name: Maceus, Nick
Age: 29
Address: 47 Hampson Street
               Dracut, MA 01826
Charge(s): A&B Domestic Abuse"
2012-0000078,1/4/12,1/4/2012 12:17:00PM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0000084,1/4/12,1/4/2012  1:50:00PM To  1:55:00PM,THEFT REPORT,Theft,FAS PARKING SPACES 1033 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of a theft. Officer arrived and spoke to the reporting party who stated upon arrival they observed an opening on the drivers side window. The reporting party stated that two books valued at $50.00 and a pair of black Arnett sunglasses valued at $150.00 were stolen from their vehicle.
2012-0000096,1/4/12,1/4/2012  8:01:00PM,PROPERTY DAMAGE,Theft, 8 COWPERTHWAITE ST,MA,CLOSED,Officer dispatched to a report of a fire alarm. Officer arrived and reports a drain was backed up and overflowing causing flooding on the first floor. Officer reports the Cambridge Fire Department and Operations were on scene and cleaned up the area.
2012-0000097,1/4/12,1/4/2012  8:01:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0000104,1/5/12,1/5/2012  9:12:00AM,UNWANTED GUEST,Suspicious activity,LAW SCHOOL PROJECT OFFICES 125 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of two unwanted guests in the entryway. Officers report the individuals were leaving upon their arrival.
2012-0000114,1/5/12,1/2/2012 To 1/3/2012 9:00:00PM To  2:00:00PM,THEFT REPORT,Theft,LISE 15 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen silver Apple MacBook Pro valued at $2,279.00. The laptop was locked with a cable and the reporting individual informed the cable had been broken and the laptop stolen.
UPDATE 1/18/12: Pending any further information this case is closed."
2012-0000121,1/5/12,1/5/2012  6:29:00PM,FIRE,Other,SFP SOLDIERS FIELD PARK GARAGE 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of a fire on the second floor of the garage. Officers report an individual from Parking Services was attempting to extinguish the fire. Boston Fire arrived and extinguished the fire and reports the garage was cleared to be reopened. Officers report several construction cones and some trash had caught on fire.
2012-0000129,1/5/12,1/5/2012 10:00:00PM To 10:20:00PM,MOTOR VEHICLE ACCIDENT,Other,WARREN ALPERT BUILDING 200 LONGWOOD AVE,MA,CLOSED,Officer dispatched to a report of a motor vehicle accident with no personal injuries. Upon arrival the individual informed that while backing off the lift they turned their wheel too soon and the vehicle came off the lift. The vehicle sustained damage to its right front quarter panel.
2012-0000177,1/6/12,1/6/2012 12:30:00PM To  1:30:00PM,THEFT REPORT,Theft,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured black Le Sport Sac laptop bag valued at $50.00 that contained a black Mark Jacobs wallet valued at $20.00, a black and silver Apple iPad 2 valued at $500.00, an external hard drive valued at $140.00, $400.00 cash, credit cards and a Banana Republic Gift Card valued at $75.00. On 1/7/12 officer reports the black Le Sport Sac laptop bag was recovered at another location. All items were in tact except for the iPad and $400.00 cash, which were still missing.
UPDATE 1/18/12: Pending any further information this case is closed."
2012-0000178,1/6/12,1/5/2012  3:30:00PM To  6:00:00PM,THEFT REPORT,Theft,LONGFELLOW HALL 13 APPIAN WAY,MA,CLOSED,"Officer dispatched to take a report of a stolen black bookbag valued at $50.00 that contained a black audio recording device valued at $80.00, a book valued at $20.00, an LG cell phone valued at $100.00, a gift card valued at $50.00, a passport and various papers."
2012-0000180,1/6/12,1/6/2012  1:00:00PM To  1:30:00PM,THEFT REPORT,Theft,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured black wallet valued at $15.00 that contained $80.00 cash, identification cards, an MBTA pass, credit cards and a black Android cell phone valued at $200.00. On 1/7/12 officer reports the wallet was recovered at another location. All items were in tact except for one identification card, $80.00 cash and cell phone which were still missing.
UPDATE 1/18/12: Pending any further information this case is closed."
2012-0000181,1/6/12,1/6/2012  2:22:00PM To  3:52:00PM,THEFT REPORT,Theft,CONVERSE LAB 12 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen silver MacBook pro laptop computer valued at $1800.00.
UPDATE 1/18/12: Pending any further information this case is closed."
2012-0000182,1/6/12,1/6/2012  4:05:00PM,TRESPASS WARNING,Suspicious activity,JEFFERSON LAB 17 OXFORD ST,MA,CLOSED,Officers dispatched to a report of two individuals inquiring about purchasing books and acting suspiciously. Officers located the individuals who were in possession of various books. Officers conducted a field interview and each individual was run for wants/warrants with negative results. Officers sent each individual on their way with a trespass warning for all Harvard University property and confiscated the books until the purchases could be verified.
2012-0000184,1/6/12,1/6/2012  7:17:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,29 GARDEN STREET ,MA,CLOSED,Officer dispatched to a report of an individual running up and down the stairs serval times. Officer arrived and reports the individual was gone on arrival.
2012-0000189,1/6/12,1/6/2012  9:25:00PM,ASSIST STATE POLICE,Other,WEEKS BRIDGE 1 MEMORIAL DR,MA,CLOSED,Officers assisted the Massachusetts State Police with a door alarm. Officers arrived and checked the area and report all is in order.
2012-0000192,1/7/12,1/7/2012 12:17:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,DELPHIC CLUB 9 LINDEN ST,MA,CLOSED,Officers dispatched to a report of two individuals attempting to gain access to the building through the fire escape. Officers arrived and determined the individuals had authorization to be there and were just locked out of the building.
2012-0000194,1/7/12,1/7/2012  1:21:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,SEELY MUDD BUILDING 250 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously in the area. Officers arrived and determined the individual was not suspicious and had authorization to be there.
2012-0000196,1/7/12,1/7/2012  5:33:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,HIM HMS 77 AVE LOUIS PASTEUR,MA,CLOSED,"Officers dispatched to a report of an individual attempting to gain access to the building using an expired identification card. Officers arrived, took custody of the identification card and advised the individual on how to gain access to the building using a guest pass."
2012-0000205,1/7/12,1/7/2012  1:47:00PM,ASSIST STATE POLICE,Other, N HARVARD ST / SOLDIERS FIELD RD,MA,CLOSED,Officer assisted the Massachusetts State Police with a disabled motor vehicle.
2012-0000207,1/7/12,1/7/2012  2:21:00PM,SKATEBOARD/BIKE COMPLAINT,Suspicious activity,KENNEDY SCHOOL .79 JFK ST,MA,CLOSED,Officers dispatched to a report of individuals skateboarding in the area. Officers arrived and sent the individuals on their way.
2012-0000221,1/8/12,1/8/2012  4:48:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,MATHER HOUSE B 93 BANKS ST,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously in the building. Officers arrived and searched the building for the individual with negative results.
2012-0000223,1/8/12,1/8/2012  6:10:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WIGGLESWORTH HALL D 6 HARVARD YARD,MA,CLOSED,Officers dispatched to a report that an individual piggybacked into the building. Officers arrived and searched the building for the individual with negative results.
2012-0000232,1/9/12,1/9/2012  8:17:00AM,ASSIST STATE POLICE,Other, SOLDIERS FIELD RD / RIVER ST,MA,CLOSED,Officer assisted the Massachusetts State Police with a motor vehicle accident.
2012-0000237,1/9/12,1/3/2012 To 1/8/2012 9:00:00AM To  5:00:00PM,HARASSMENT,Harassment,BUREAU OF STUDY COUNCIL 5 LINDEN ST,MA,CLOSED,Officer took a report of an individual receiving harassing phone calls.
2012-0000258,1/9/12,1/9/2012  1:57:00PM,SUSPICIOUS ACTIVITY,Suspicious activity, 100 PUTNAM AVE,MA,CLOSED,"Officer took a report of indecent exposure.
UPDATE 5/10/12: Pending any further information this case is closed."
2012-0000259,1/9/12,1/9/2012  2:42:00PM,THEFT REPORT,Theft,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen silver Apple Mac Book pro laptop computer valued at $1800.00 and a black Motorola Droid cell phone valued at $200.00.
UPDATE 5/10/12: Pending any further information this case is closed."
2012-0000260,1/9/12,1/8/2012 To 1/9/2012 6:00:00PM To 11:00:00AM,ASSIST CAMBRIDGE POLICE,Other, 5 FERNALD DR,MA,CLOSED,"Officer assisted CPD in taking a report that a Garmin Nuvi GPS navigation system valued at $230.00 was stolen  from a motor vehicle.
Update 1/16/12: This incident has been reclassified from a theft report to Assist CPD."
2012-0000261,1/9/12,1/9/2012  4:05:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping on a bench. Officers arrived and sent the individual on their way.
2012-0000263,1/9/12,1/9/2012  4:30:00PM To  5:00:00PM,THEFT REPORT,Theft,GRISWOLD HALL 1525 MASSACHUSETTS AVE,MA,CLOSED,"Officer dispatched to a report of suspicious activity. Officer arrived and spoke to the reporting party who stated upon arrival they observed an unknown individual rummaging through desk drawers. The reporting party stated the unknown individual then left the area. On 1/10/12 an individual called and stated that upon further investigation it was determined that a set of keys were missing.
Update 2/9/12: This case is closed pending any further information."
2012-0000272,1/9/12,1/9/2012 10:12:00PM,ASSIST BOSTON POLICE,Other, WESTERN AVE / N HARVARD ST,MA,CLOSED,Officers dispatched to assist BPD in searching the area for individuals involved in a robbery. Officers searched the area for the individuals with negative results.
2012-0000275,1/10/12,1/10/2012  1:36:00AM,VANDALISM,Suspicious activity,LONGWOOD CAMPUS OPERATIONS 180 LONGWOOD AVE,MA,CLOSED,Officer dispatched to take a report of graffiti done to the door.
2012-0000285,1/10/12,1/9/2012 12:20:00PM To  6:00:00PM,THEFT REPORT,Theft,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,Officer dispatched to  take a report of a stolen unattended and unsecured black book bag valued at $10.00 and a black Andriod cell phone valued at $100.00.
2012-0000289,1/10/12,1/9/2012  8:11:00PM To  8:12:00PM,VANDALISM,Suspicious activity,PALACE RD LOT 168 LONGWOOD AVE,MA,CLOSED,Officer dispatched to take a report of damage done to the parking gate arm.
2012-0000290,1/10/12,1/10/2012  2:00:00PM To  2:37:00PM,VANDALISM,Suspicious activity,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,Officer dispatched to take a report of graffiti done to two signs.
2012-0000294,1/10/12,1/10/2012  4:13:00PM,TRESPASSING,Suspicious activity,LANGDELL HALL 1545 MASSACHUSETTS AVE,MA,ARREST,"Officers dispatched to a report of an individual acting suspiciously at the computer terminals. Officers arrived and located the individual. Officers spoke to the individual who was not affiliated and conducted a field interview. The individual was run for wants/warrants with positive results and placed under arrest for trespassing.
Name: Mottley, Jerriey
Age: 37
Address: 39 Kingston St
               Boston, MA 02112
Charge(s) Trespassing
                Warrant Service"
2012-0000311,1/11/12,1/11/2012  1:15:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0000317,1/11/12,1/11/2012  6:30:00AM,ASSIST CAMBRIDGE POLICE,Other, PLYMPTON ST / MILL ST,MA,CLOSED,Officer assisted CPD in taking a report of two individuals acting suspiciously in a motor vehicle.
2012-0000318,1/11/12,1/11/2012  8:41:00AM,ASSIST BOSTON POLICE,Other, ST. ALPHONSUS / TREMONT ST,MA,CLOSED,Officer assisted BPD in returning property to an individual.
2012-0000319,1/11/12,1/11/2012  9:50:00AM To 10:11:00AM,FIELD INTERVIEW,Other,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual causing a disturbance. Officers arrived and located the individual. Officers conducted a field interview and the individual was run for wants/warrants with negative results and sent on their way.
2012-0000331,1/11/12,1/11/2012  5:23:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual in the restroom for an extended amount of time. Officers arrived and sent the individual on their way.
2012-0000336,1/11/12,1/11/2012  7:06:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer reports sending an unwanted guest on their way.
2012-0000344,1/12/12,1/12/2012 12:22:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,641 HUNTINGTON AVENUE 641 HUNTINGTON AVE,MA,CLOSED,Officers dispatched to a report of two individuals acting suspiciously in the area. The reporting party stated the individuals were observed opening a door to a motor vehicle.  Officers arrived and searched the area for the individuals with negative results. Officers report no damage done to the motor vehicle and all is in order.
2012-0000352,1/12/12,1/12/2012  9:00:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,BLODGETT POOL 79 N HARVARD ST,MA,CLOSED,Officer dispatched to take a report of suspicious activity done to a plywood vent.
2012-0000356,1/12/12,1/12/2012 11:05:00AM,SUSPICIOUS ACTIVITY,Suspicious activity, 50 FOLLEN ST,MA,CLOSED,Officer took a report of suspicious activity.
2012-0000357,1/12/12,1/12/2012 11:20:00AM,THEFT REPORT,Theft, 10 EVERETT ST,MA,ARREST,"Officers observed an individual remove a backpack from a motor vehicle. Officers approached the individual who then fled the area. Officers gave chase and stopped the individual. A field interview was conducted and the individual was run for wants/warrants with positive results and placed under arrest. Complaints will also be sought against the individual.
Name: McDonald, Mark
Age: 49
Address: Unknown at this time
Charge(s): Warrant Service
                 B&E/M.V/Bldg/Vessle"
2012-0000358,1/12/12,1/12/2012 11:27:00AM,ASSAULT REPORT,Violence,COLLEGE DINING HALL 80 JFK ST,MA,OPEN,"Officers dispatched to take a report that an individual had threatened another individual. Officers arrived and spoke to the reporting party who stated another individual threatened to hit them with a pan. Officer reports complaints will be sought against an individual in this case.
UPDATE 2/14/12: On 2/10/12 Complaints were issued against an individual in this case.
Name: Torres, Pedro
Age: 52
Address: Unknown at this time
Charge: Assault with a Dangerous Weapon"
2012-0000492,1/12/12,1/12/2012 10:37:00PM,THEFT REPORT,Theft,SEVER HALL 25 HARVARD YARD,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured white Apple iPhone valued at $500.00.
2012-0000494,1/13/12,1/13/2012  4:55:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,MATHER HOUSE B 93 BANKS ST,MA,CLOSED,Officers dispatched to a report that an individual was escorted back to their room.
2012-0000499,1/13/12,1/13/2012  9:26:00AM,UNWANTED GUEST,Suspicious activity,LAW SCHOOL PROJECT OFFICES 125 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest in the alley. Officers arrived and sent two individuals on their way.
2012-0000509,1/13/12,1/13/2012 11:04:00AM,ASSIST CAMBRIDGE POLICE,Other,MALLINCKRODT LAB 12 OXFORD ST,MA,CLOSED,Officer assisted CPD with locating an individual.
2012-0000517,1/13/12,1/13/2012 11:50:00AM To  1:55:00PM,ASSIST BOSTON POLICE,Other, 283 LONGWOOD AVE,MA,CLOSED,Officer assisted BPD in taking a report of a stolen backpack.
2012-0000518,1/13/12,1/13/2012  4:15:00PM To  4:30:00PM,THEFT REPORT,Theft,BAUER LIFE SCIENCES BUILDING 12 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured black Apple iPhone valued at $300.00 and a silver Apple MacBook Pro valued at $1,500.00.
Update 2/10/12: This case is closed pending any further information."
2012-0000521,1/13/12,1/13/2012  5:21:00PM,ASSIST CAMBRIDGE POLICE,Other, JFK ST,MA,CLOSED,Officers assisted CPD with a report of an altercation. Officers report a field interview was conducted and two individuals were checked for wants/warrants with negative results and sent on their way.
2012-0000552,1/14/12,1/14/2012  1:15:00PM To  4:00:00PM,DEMONSTRATION,Disturbance,HARVARD YARD 1 PEABODY ST,MA,CLOSED,Officers stood by during a demonstration that went without incident.
2012-0000555,1/14/12,1/14/2012  3:28:00PM,ASSIST CAMBRIDGE POLICE,Other, 10 PLYMPTON ST,MA,CLOSED,Officer assisted CPD with a report of an individual in need of medical assistance. Officer reports the individual was transported to a medical facility.
2012-0000569,1/15/12,1/15/2012  2:43:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,WOLBACH HALL 124 WALKER ST,MA,CLOSED,Officers dispatched to a report of two suspicious individuals hanging around the entrance. Officers searched the area for the individuals with negative results.
2012-0000576,1/15/12,1/15/2012  8:51:00AM,PROPERTY DAMAGE,Theft,"KIRKLAND ST, 41 41 KIRKLAND ST",MA,CLOSED,Officer dispatched to take a report of a broken window.
2012-0000586,1/15/12,1/15/2012  4:12:00PM,FIELD INTERVIEW,Other,JOHN HARVARD STATUE 1 HARVARD YARD,MA,CLOSED,Officers observed an individual placing signs and a mask on the statue. Officer conducted a field interview with the individual and another individual in the area who had approached the first individual during the incident. The individual was instructed to remove the signs and mask and both individuals were sent on their way.
2012-0000595,1/16/12,1/16/2012  3:00:00AM,LOUD PARTY,Noise,ADAMS HOUSE A 45 BOW ST,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and instructed the occupants of room A-17 to turn the music down.
2012-0000605,1/16/12,1/16/2012 12:23:00PM,PROPERTY DAMAGE,Theft,MORRIS HALL 14 HARVARD WAY,MA,CLOSED,Officers dispatched to a report of a fire alarm. Upon arrival the officers were informed that a sprinkler head had froze and burst causing a water leak and severe flooding. The water source was shut down and the building was vacated until repairs could be made. Officers report management was on scene and aware of the incident.
2012-0000618,1/16/12,1/16/2012  4:27:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,Officers dispatched to a report of a motor vehicle parked near a dumpster. Officers were informed the occupants of the motor vehicle were removing items. Officers report the motor vehicle was gone on arrival.
2012-0000624,1/16/12,1/16/2012 10:40:00PM,PROPERTY DAMAGE,Theft,ARNOLD ARBORETUM 125 ARBORWAY,MA,CLOSED,Officer dispatched to a report of a fire alarm. Upon arrival the officer was informed that a sprinkler head had activated for an unknown reason. Water was on the floor near the entryway and their was damage to a door. Officer reports management was on scene and aware of the incident.
2012-0000632,1/17/12,1/16/2012 To 1/17/201211:00:00PM To  7:00:00AM,MOTOR VEHICLE ACCIDENT,Other,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,Officer dispatched to a report of damage done to a motor vehicle. Officer arrived and spoke to the reporting party who stated upon arrival they observed damage done to their vehicles drivers side mirror and door.
2012-0000635,1/17/12,1/12/2012 To 1/17/2012 5:00:00PM To  8:00:00AM,THEFT REPORT,Theft,WARREN ALPERT BUILDING 200 LONGWOOD AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured black Keurig coffee maker valued at $200.00.
UPDATE 11/15/12: Pending further investigation this case is closed."
